Year,Week,Month,Status,Notes,old_name,new_name,correct_link,alt_new_name
24,16,,Corrupted,Duplicate of W17,,,,
23,1,1,Found,wrong_link,An_update_of_Lassa_fever_outbreak_in_Nigeria_291222_53.pdf,Nigeria_02_Jan_23_W1.pdf,https://ncdc.gov.ng/themes/common/files/sitreps/45eea750bb8f83e3d8a126e797c12842.pdf,Nigeria_29_Dec_22_W53.pdf
23,38,9,Found,wrong_link,An_update_of_Lassa_fever_outbreak_in_Nigeria_140923_38.pdf,Nigeria_14_Sep_23_W38.pdf,https://ncdc.gov.ng/themes/common/files/sitreps/7bff918b81a8e610200b879d929995d.pdf,
22,21,,Missing,Not found,,,,
22,22,5,Found,missing_row,An_update_of_Lassa_fever_outbreak_in_Nigeria_260522_22.pdf,Nigeria_26_May_22_W22.pdf,https://ncdc.gov.ng/themes/common/files/sitreps/7b781485b6f62442c6386d5969afc4b7.pdf,
22,2,,Corrupted,Need removal,,,,
22,14,,Corrupted,Need removal,,,,
22,19,,Corrupted,Need removal,,,,
22,20,,Corrupted,Need removal,,,,
22,23,,Corrupted,Need removal,,,,
21,24,,Missing,Not found,,,,
21,21,,Corrupted,Need removal,,,,
21,23,,Corrupted,Need removal,,,,
21,30,,Corrupted,Need removal,,,,
21,32,,Corrupted,Need removal,,,,
20,1,,Corrupted,"Different format - needs manual extraction, also no suspected cases",,,,
20,2,,Corrupted,"Different format - needs manual extraction, also no suspected cases",,,,
20,3,,Corrupted,"Different format - needs manual extraction, also no suspected cases",,,,
20,4,,Corrupted,"Different format - needs manual extraction, also no suspected cases",,,,
20,5,,Corrupted,"Different format - needs manual extraction, also no suspected cases",,,,
