year,week,states,suspected,confirmed,probable,hcw,deaths
25,21,Abia,2.0,,,,
25,21,Bauchi,8.0,2.0,,,
25,21,Cross River,1.0,,,,
25,21,Delta,1.0,,,,
25,21,Ebonyi,3.0,,,,
25,21,Edo,58.0,,,,
25,21,Enugu,1.0,,,,
25,21,FCT,1.0,,,,
25,21,Kogi,1.0,,,,
25,21,Nasarawa,1.0,,,,
25,21,Ondo,47.0,4.0,,,
25,21,Total,124.0,6.0,,,
25,20,Bauchi,12.0,3.0,,,1.0
25,20,Benue,3.0,,,,
25,20,Ebonyi,2.0,,,,
25,20,Edo,60.0,6.0,,,
25,20,Ekiti,3.0,,,,
25,20,Kogi,2.0,,,,
25,20,Lagos,1.0,,,,
25,20,Ondo,67.0,4.0,,,
25,20,Plateau,1.0,,,,
25,20,Rivers,4.0,,,,
25,20,Total,155.0,13.0,,,1.0
25,19,Abia,2.0,,,,
25,19,Anambra,1.0,,,,
25,19,Benue,2.0,1.0,,,
25,19,Edo,38.0,1.0,,,1.0
25,19,Ekiti,3.0,,,,
25,19,Enugu,1.0,,,,
25,19,Ondo,35.0,1.0,,,1.0
25,19,Total,82.0,3.0,,,2.0
25,18,Bauchi,15.0,1.0,,,1.0
25,18,Benue,6.0,1.0,,,1.0
25,18,Ebonyi,21.0,,,,
25,18,Edo,51.0,4.0,,,1.0
25,18,Kaduna,1.0,,,,
25,18,Kano,1.0,,,,
25,18,Katsina,1.0,,,,
25,18,Ondo,103.0,4.0,,,
25,18,Plateau,9.0,,,,
25,18,Rivers,1.0,,,,
25,18,Total,209.0,10.0,,,3.0
25,17,Anambra,2.0,,,,
25,17,Bauchi,25.0,3.0,,,1.0
25,17,Borno,1.0,,,,
25,17,Delta,1.0,,,,
25,17,Ebonyi,15.0,,,,
25,17,Edo,47.0,2.0,,1.0,1.0
25,17,Enugu,1.0,,,,
25,17,Kaduna,1.0,,,,
25,17,Kogi,1.0,,,,
25,17,Nasarawa,2.0,,,,
25,17,Ondo,49.0,4.0,,,
25,17,Rivers,1.0,,,,
25,17,Taraba,14.0,2.0,,,1.0
25,17,Total,160.0,11.0,,1.0,3.0
25,16,Bauchi,16.0,2.0,,,2.0
25,16,Ebonyi,48.0,,,,
25,16,Edo,53.0,,,,
25,16,Gombe,5.0,,,,
25,16,Imo,1.0,,,,
25,16,Nasarawa,1.0,,,,
25,16,Ogun,1.0,,,,
25,16,Ondo,114.0,2.0,,,1.0
25,16,Plateau,1.0,,,,
25,16,Taraba,18.0,6.0,,,2.0
25,16,Total,258.0,10.0,,,3.0
25,15,Adamawa,1.0,,,,
25,15,Anambra,1.0,,,,
25,15,Bauchi,30.0,3.0,,,
25,15,Benue,1.0,,,,
25,15,Delta,1.0,,,,
25,15,Ebonyi,28.0,,,,
25,15,Edo,45.0,1.0,,,
25,15,Ekiti,3.0,,,,
25,15,Gombe,1.0,1.0,,,
25,15,Kogi,1.0,,,,
25,15,Lagos,1.0,,,,
25,15,Nasarawa,2.0,,,,
25,15,Ondo,104.0,5.0,,,1.0
25,15,Plateau,1.0,,,,
25,15,Taraba,10.0,2.0,,1.0,
25,15,Total,231.0,12.0,,1.0,1.0
25,15,Yobe,1.0,,,,
25,14,Adamawa,1.0,,,,
25,14,Bauchi,39.0,5.0,,,
25,14,Benue,1.0,,,,
25,14,Cross River,1.0,,,,
25,14,Ebonyi,16.0,1.0,,,2.0
25,14,Edo,55.0,2.0,,,1.0
25,14,Ekiti,1.0,,,,
25,14,Enugu,1.0,,,,
25,14,FCT,1.0,,,,
25,14,Gombe,5.0,1.0,,,1.0
25,14,Nasarawa,6.0,,,,
25,14,Ogun,1.0,,,,
25,14,Ondo,102.0,5.0,,,1.0
25,14,Plateau,4.0,,,,
25,14,Rivers,1.0,,,,
25,14,Taraba,11.0,1.0,,,
25,14,Total,246.0,15.0,,,5.0
25,13,Abia,1.0,,,,
25,13,Akwa Ibom,1.0,,,,
25,13,Anambra,2.0,,,,
25,13,Bauchi,31.0,5.0,,,
25,13,Benue,21.0,,,,
25,13,Delta,3.0,,,,
25,13,Ebonyi,5.0,1.0,,,
25,13,Edo,66.0,,,,
25,13,Ekiti,4.0,,,,
25,13,Enugu,2.0,,,,
25,13,Gombe,3.0,,,,
25,13,Kaduna,1.0,,,,
25,13,Kano,1.0,,,,
25,13,Kogi,1.0,,,,
25,13,Nasarawa,3.0,1.0,,,1.0
